,Sample.Name,Order,Round,Sampling.date,Species,Hygienic.zoning,Food.contact.surface,Area,Sampling.site.detail,Sampling.site.detail.drain,Listeria.spp,Listeria.monocytogenes,Sample_MOC_Control,Quantity,Facility,Extraction.date
a405,a405,196,3,11/18/24,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,positive,positive,Sample,0.422,2,3/25/25
a463,a463,229,4,12/8/24,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.165,4,8/25/25
a481,a481,240,4,12/15/24,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.174,3,8/25/25
a507,a507,252,3,1/13/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.118,6,8/25/25
a553,a553,276,4,1/27/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.0885,2,8/25/25
a611,a611,303,5,2/16/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.646,4,8/25/25
a653,a653,324,5,5/11/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.0466,3,8/25/25
a679,a679,337,4,5/19/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,1.27,6,8/25/25
a701,a701,348,5,6/30/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.898,2,8/25/25
a71,a71,34,1,5/6/24,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.406,4,7/5/24
a731,a731,363,5,8/4/25,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.0905,6,8/25/25
a89,a89,42,1,5/26/24,pork,NA,yes,Raw_material_processing,Sausage_filler,Other,negative,negative,Sample,0.686,3,7/5/24
a253,a253,125,2,9/9/24,pork,NA,yes,Raw_material_processing,Tumbler,Other,positive,negative,Sample,1.57,2,3/25/25
a34,a34,16,1,4/29/24,pork,NA,yes,Raw_material_processing,Tumbler,Other,negative,negative,Sample,1.44,2,7/5/24
a401,a401,195,3,11/18/24,pork,NA,yes,Raw_material_processing,Tumbler,Other,positive,positive,Sample,2.2,2,3/25/25
a549,a549,274,4,1/27/25,pork,NA,yes,Raw_material_processing,Tumbler,Other,negative,negative,Sample,0.847,2,8/25/25
a697,a697,346,5,6/30/25,pork,NA,yes,Raw_material_processing,Tumbler,Other,negative,negative,Sample,1.21,2,8/25/25
